No.,"(x,y)",1,2,3
734,"12,25",-67,-44,-54
735,"12,25",-62,-51,-54
736,"12,25",-63,-43,-57
737,"12,25",-67,-40,-57
738,"12,25",-64,-48,-51
739,"12,25",-64,-50,-55
740,"12,25",-66,-40,-52
741,"12,25",-60,-43,-51
742,"12,25",-66,-44,-47
743,"10,26",-63,-43,-51
744,"10,26",-66,-42,-47
745,"10,26",-69,-42,-47
746,"10,26",-69,-42,-52
747,"10,26",-69,-42,-50
748,"10,26",-66,-41,-51
749,"10,26",-66,-41,-50
750,"10,26",-67,-44,-53
751,"10,26",-66,-48,-52
752,"10,26",-68,-48,-51
753,"10,26",-68,-42,-51
754,"10,26",-67,-47,-52
755,"10,26",-66,-47,-53
756,"12,27",-77,-43,-50
757,"12,27",-77,-44,-50
758,"12,27",-79,-47,-49
759,"12,27",-79,-45,-51
760,"12,27",-79,-49,-50
761,"12,27",-75,-49,-50
762,"12,27",-76,-44,-50
763,"12,27",-71,-44,-58
764,"12,27",-72,-47,-53
765,"12,27",-75,-50,-53
766,"12,27",-75,-47,-52
767,"12,27",-79,-43,-50
768,"12,27",-72,-46,-49
769,"12,27",-72,-45,-50
770,"12,27",-70,-45,-52
771,"12,27",-69,-41,-49
772,"12,27",-70,-41,-53
773,"11,28",-69,-42,-54
774,"11,28",-64,-45,-54
775,"11,28",-71,-45,-48
776,"11,28",-68,-45,-48
777,"11,28",-67,-48,-49
778,"11,28",-67,-42,-52
779,"11,28",-67,-48,-52
780,"11,28",-68,-43,-48
781,"11,28",-65,-44,-51
782,"11,28",-63,-42,-53
783,"11,28",-63,-50,-47
784,"11,28",-63,-46,-50
785,"13,29",-67,-45,-49
786,"13,29",-63,-45,-47
787,"13,29",-63,-45,-47
788,"13,29",-64,-47,-48
789,"13,29",-64,-46,-48
790,"13,29",-64,-46,-48
791,"13,29",-63,-46,-48
792,"13,29",-63,-46,-48
793,"13,29",-63,-46,-48
794,"13,29",-63,-46,-48
795,"13,29",-64,-46,-48
796,"13,29",-63,-44,-48
797,"13,29",-63,-44,-50
798,"13,29",-65,-45,-48
799,"13,29",-66,-44,-48
800,"13,29",-66,-43,-50
801,"13,29",-66,-46,-48
802,"13,29",-67,-46,-50
824,"2,17",-63,-54,-47
825,"2,17",-64,-58,-47
826,"2,17",-59,-61,-35
827,"2,17",-63,-55,-41
828,"2,17",-65,-56,-39
829,"2,17",-65,-55,-32
830,"2,17",-58,-55,-35
831,"2,17",-59,-60,-35
832,"2,17",-61,-60,-40
833,"2,17",-66,-54,-46
834,"2,17",-63,-51,-82
835,"2,17",-63,-57,-45
836,"2,17",-62,-53,-50
837,"2,17",-62,-57,-36
838,"2,17",-71,-53,-33
839,"2,17",-62,-53,-33
840,"2,17",-63,-56,-33
841,"2,17",-67,-51,-35
842,"5,17",-65,-49,-46
843,"5,17",-59,-40,-34
844,"5,17",-59,-46,-34
845,"5,17",-64,-45,-36
846,"5,17",-63,-50,-41
847,"5,17",-59,-44,-37
848,"5,17",-65,-43,-44
849,"5,17",-64,-42,-40
850,"5,17",-67,-46,-35
851,"5,17",-56,-46,-32
852,"5,17",-65,-46,-87
853,"5,17",-63,-45,-31
854,"3,18",-66,-58,-38
855,"3,18",-64,-60,-40
856,"3,18",-65,-57,-39
857,"3,18",-64,-58,-38
858,"3,18",-64,-58,-38
859,"3,18",-64,-58,-38
860,"3,18",-64,-58,-37
861,"3,18",-64,-56,-38
862,"3,18",-62,-55,-36
863,"3,18",-65,-60,-39
864,"3,18",-65,-60,-40
865,"3,18",-63,-58,-42
866,"3,18",-67,-58,-38
867,"3,18",-67,-58,-39
868,"3,18",-69,-59,-38
869,"3,18",-66,-56,-37
870,"3,18",-65,-56,-39
871,"3,18",-64,-56,-38
872,"2,19",-62,-56,-41
873,"2,19",-65,-48,-46
874,"2,19",-62,-48,-41
875,"2,19",-64,-48,-41
876,"2,19",-65,-43,-49
877,"2,19",-65,-43,-48
878,"2,19",-65,-43,-44
879,"2,19",-63,-44,-44
880,"2,19",-62,-44,-44
881,"2,19",-62,-46,-49
882,"2,19",-62,-39,-46
